,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,tonality_key,tonality_scale,tonality_confidence
504,467250,467250_f139,files/467250_9159316-hq.ogg,1138688,1146880,0.01389933843165636,-1043.4187,230.77731,128.54247,67.38451,25.089855,26.745419,31.4553,37.32003,49.091663,8.369055,14.522745,28.254688,-3.2972183,0.007232523988932371,2.7810356e-05,1.0,0.00017479899,0.008672002,0.00033361788,0.9978107,0.0037022575,0.00094294123,0.12491047,0.0003360465,0.00014985826,0.1243859,Eb,minor,0.796779215335846
505,467250,467250_f140,files/467250_9159316-hq.ogg,1146880,1155072,0.014212793670594692,-1044.5753,230.01157,130.05275,69.95412,26.049168,24.755606,29.693632,36.189125,50.065266,9.364376,10.526289,29.467321,0.6059864,0.007092825137078762,0.0025917252,1.0,0.0015199,0.09771604,0.00967346,0.6836787,0.3568495,0.008783754,0.98317516,0.040143646,0.6950932,0.0015613791,Bb,minor,0.7596959471702576
506,467250,467250_f141,files/467250_9159316-hq.ogg,1155072,1163264,0.01360728032886982,-1049.4761,225.84808,131.02707,73.310196,29.147272,26.215738,28.044563,28.034624,49.395973,16.218248,9.451481,33.827003,7.964881,0.006051296833902597,1.0,3.8601873e-05,0.0052140206,0.0002798427,0.99822694,0.00010530085,0.011443376,0.074218035,3.2931544e-05,0.00015700763,0.4633395,5.3684398e-05,A,major,0.7226473093032837
507,467250,467250_f142,files/467250_9159316-hq.ogg,1163264,1171456,0.01377839408814907,-1049.5433,226.87872,131.78264,73.71473,28.709085,25.317583,27.958885,28.04418,48.55007,15.646842,7.7919574,33.542454,8.295783,0.006884841714054346,1.0,4.4339595e-05,0.0021981297,0.00022811582,0.99848527,0.0030047374,0.0052105864,0.09693893,0.0002768695,7.770108e-05,0.24778536,9.818405e-05,A,major,0.6994442343711853
508,467250,467250_f143,files/467250_9159316-hq.ogg,1171456,1179648,0.013733468018472195,-1051.123,226.91736,131.02596,73.7916,29.222826,23.455175,27.9142,28.000032,48.294647,18.972126,5.5728908,32.069244,11.602595,0.006815305445343256,1.0,0.00035333677,0.010623345,0.0019606294,0.99511313,0.035689745,0.0007478511,0.2720901,0.004618671,0.0020344006,0.0024043422,0.00029033556,A,major,0.8876749873161316
509,467250,467250_f144,files/467250_9159316-hq.ogg,1179648,1187840,0.013245731592178345,-1059.3289,219.23906,127.04556,74.80146,28.584475,20.510332,26.940254,22.31936,46.506775,34.114998,-1.1116337,20.109133,24.57113,0.006596846505999565,0.010032386,0.011826065,0.014642567,0.11086928,0.07606526,0.004772405,0.24243876,0.017870443,0.9918689,0.08232798,1.0,0.46787524,Ab,major,0.3520657420158386
510,467250,467250_f145,files/467250_9159316-hq.ogg,1187840,1196032,0.012401804327964783,-1073.238,207.38258,120.68086,75.13527,30.670267,14.421897,21.46103,14.40914,32.62484,47.830032,12.857857,10.612864,34.71385,0.005558343138545752,0.0022078822,0.007590902,0.030436125,0.00021042534,0.97860783,0.0047240397,0.001717556,0.32285926,0.00038948096,1.0,0.00022108368,0.045592222,F#,major,0.7798265218734741
511,467250,467250_f146,files/467250_9159316-hq.ogg,1196032,1204224,0.012786141596734524,-1073.7664,205.0534,119.378815,75.0646,31.666773,13.750106,21.947525,16.526632,29.858816,50.994984,16.379074,5.268955,29.67039,0.005279546603560448,0.0027581335,0.011049365,0.026249086,0.07533417,0.0003750796,0.0014050469,0.99768025,0.0001081357,1.0,3.1334086e-05,0.0025142338,0.0003504462,F,major,0.5967755317687988
512,467250,467250_f147,files/467250_9159316-hq.ogg,1204224,1212416,0.01257609948515892,-1073.5494,205.31786,119.45322,74.784744,31.419794,13.6538,21.90503,16.421263,29.246527,50.209946,16.283218,6.147896,30.661997,0.005285859107971191,0.0025748573,0.010344511,0.02705358,0.07566042,0.00034513374,0.001204955,0.99800795,8.88794e-05,1.0,4.21769e-05,0.0023539383,0.00033241848,F,minor,0.6885399222373962
513,467250,467250_f148,files/467250_9159316-hq.ogg,1212416,1220608,0.012368607334792614,-1073.5839,205.66846,119.5697,75.16241,31.903711,14.187797,22.360497,16.59181,29.848593,50.594456,16.714546,5.394516,29.269304,0.0052791484631598,0.002613411,0.010114283,0.026174722,0.07510473,0.00029041318,0.00111586,0.9978391,0.00016603492,1.0,7.46522e-05,0.002542319,0.0003550093,F,major,0.6086282730102539
514,467250,467250_f149,files/467250_9159316-hq.ogg,1220608,1228800,0.012467265129089355,-1073.9633,204.69019,119.04813,75.18001,31.703394,13.971747,22.553185,16.89871,30.14369,51.02079,16.43077,5.8734016,30.466043,0.0051957909017801285,0.0027184356,0.00981526,0.026575975,0.07281012,0.00041206533,0.0009902804,0.9978885,8.517476e-05,1.0,5.6326324e-05,0.0024502154,0.00032981357,F,minor,0.40967807173728943
515,467250,467250_f150,files/467250_9159316-hq.ogg,1228800,1236992,0.012761849910020828,-1073.2611,205.70569,119.62915,75.402214,32.032524,14.116607,22.338707,16.726942,29.98657,50.68021,15.992844,4.8868675,29.58938,0.005194266326725483,0.0026653637,0.010493603,0.027618265,0.07370209,0.00045513333,0.0012276104,0.99779034,0.00015647044,1.0,4.890689e-05,0.0023635495,0.00037795762,F,major,0.5418451428413391
516,467250,467250_f151,files/467250_9159316-hq.ogg,1236992,1245184,0.012605369091033936,-1073.6635,205.28926,119.25751,74.96097,32.009727,14.104323,22.038254,16.53031,29.719023,50.663704,16.563347,5.5343437,29.899202,0.00527737895026803,0.0025512686,0.010855195,0.026441088,0.07522376,3.238897e-05,0.0011973567,0.9980705,0.00010952558,1.0,5.3701748e-05,0.0023563027,0.00033279767,F,minor,0.6678213477134705
517,467250,467250_f152,files/467250_9159316-hq.ogg,1245184,1253376,0.010095616802573204,-1091.4723,195.8596,129.7756,76.97281,14.281279,1.0817574,30.741226,28.869776,25.42027,40.32054,21.077156,18.698256,32.23408,0.006383491680026054,0.0022658561,5.6168752e-05,0.02072028,0.065889776,0.00011788533,0.0007582736,0.99761665,5.4344284e-05,1.0,1.2941079e-05,0.0018847511,2.4857403e-05,F,major,0.6352518200874329
518,467250,467250_f153,files/467250_9159316-hq.ogg,1253376,1261568,0.010306341573596,-1091.619,195.66905,129.4849,76.39296,13.978453,1.0881509,30.911835,29.407255,25.867598,40.492092,21.107552,18.746061,32.20869,0.006391381379216909,0.0023146018,4.8526053e-05,0.021281812,0.06418042,8.807592e-05,0.0006532573,0.99744105,7.17479e-05,1.0,2.5708609e-05,0.0020635137,4.2139105e-05,F,minor,0.5263075232505798
519,467250,467250_f154,files/467250_9159316-hq.ogg,1261568,1269760,0.004433568101376295,-1105.5901,195.37411,127.747314,65.70059,33.791862,25.72016,22.929382,16.840803,11.070834,8.473992,6.639503,4.0862503,1.6931866,0.008177870884537697,0.008723256,0.029545922,0.05488815,0.021894831,0.0022562565,0.013585304,0.86948895,0.0045730695,1.0,0.1179999,0.046901453,0.046421457,Eb,minor,0.37182873487472534
520,58257,58257_f0,files/58257_384275-hq.ogg,0,8192,1.023703134706011e-05,-1168.4254,81.4663,-3.15525,-28.683468,-22.9235,-14.954436,2.1397247,11.341337,10.285754,15.690888,7.7846065,-18.973087,-22.135849,0.0957745909690857,0.018539917,1.0,0.26872414,0.0010307084,0.012347432,0.00040769094,0.11604918,0.003668139,0.010937866,0.007536432,0.9905471,0.07379527,Eb,minor,0.6047227382659912
521,58257,58257_f1,files/58257_384275-hq.ogg,8192,16384,5.896828224649653e-05,-1063.8105,124.79982,-32.20836,-24.74561,-23.328117,-24.739471,16.41903,11.87081,9.2242,23.574364,5.131355,-6.7466507,-16.050167,0.08864518254995346,1.0,0.060050912,0.013601828,0.011333914,0.005878141,0.46818087,0.06614059,0.019381616,0.008724164,0.75386465,0.8188882,0.00800324,G,minor,0.7668610215187073
522,58257,58257_f2,files/58257_384275-hq.ogg,16384,24576,0.00046054692938923836,-924.95886,134.43779,-30.7534,-11.695107,-18.359827,-13.07305,16.141966,14.624604,-13.430211,14.14554,2.940229,-4.092126,-22.627695,0.10849463194608688,0.016205262,0.0076942244,0.0032758857,3.8732982e-05,1.0,0.0026261369,0.027614411,0.00043644084,0.9968033,0.007016035,0.0051219063,0.8766372,C#,major,0.49876129627227783
523,58257,58257_f3,files/58257_384275-hq.ogg,24576,32768,0.0018947490025311708,-766.82336,152.43576,-23.632767,-2.5767949,-21.555353,-23.089174,-3.9718938,27.304852,-3.2913535,8.931566,15.898023,8.172105,-7.5157013,0.08376038819551468,0.0013490632,0.005487745,0.99419475,0.019148633,0.0037979914,0.039341725,0.009950284,1.0,0.0688798,0.0050794934,0.07444798,0.010262544,F#,major,0.7228062152862549
524,58257,58257_f4,files/58257_384275-hq.ogg,32768,40960,0.0076348367147147655,-681.95886,179.83699,-7.358455,10.356126,-12.845871,-22.627424,-34.22435,2.0875235,8.172987,-14.218279,-2.831304,10.113216,14.376769,0.06897243112325668,0.11302939,0.17554462,0.31957793,0.6325756,0.06620655,1.0,0.0054614297,0.012752746,0.012053009,0.0066763386,0.74344444,0.060312457,G,major,0.6948956251144409
525,58257,58257_f5,files/58257_384275-hq.ogg,40960,49152,0.0041579860262572765,-730.9866,183.26323,2.303531,8.821345,-1.8609073,0.22507106,-16.685646,-15.571899,9.9008255,6.34761,-12.5498705,-10.98302,-6.014586,0.0672566369175911,0.102202885,0.14235248,0.070096664,0.018160805,0.018467722,0.009072723,0.14465183,0.011673653,0.12331501,0.025670907,1.0,0.054000985,G,minor,0.7102831602096558
526,58257,58257_f6,files/58257_384275-hq.ogg,49152,57344,0.0015539668966084719,-840.3225,197.15454,7.67494,12.13919,-2.113829,8.2882805,-12.11586,-28.14846,-26.1979,9.792472,1.816885,3.1742532,-5.442209,0.05093670263886452,0.06373513,0.01298716,0.025208876,0.055236667,0.087604865,0.0801935,0.55429053,1.0,0.4834028,0.21309492,0.03031301,0.057114854,F,major,0.46175616979599
527,58257,58257_f7,files/58257_384275-hq.ogg,57344,65536,0.0005253566196188331,-952.633,209.43703,22.100887,20.340631,-4.4232273,4.7290125,-8.766563,-9.256178,-25.812853,-17.060295,3.8203883,0.70061886,-1.313943,0.04365134611725807,0.0065083606,0.0007420313,0.0058601983,1.0,0.03887337,0.7882412,0.035508413,0.14193755,0.03453928,0.0134914685,0.0064386316,0.022967858,C#,minor,0.5714008212089539
528,58257,58257_f8,files/58257_384275-hq.ogg,65536,73728,0.00023463625984732062,-1026.957,202.9908,34.638058,9.050606,5.977064,-1.575843,4.787483,3.040392,-13.390481,-27.728073,-12.359077,2.312519,0.4719838,0.034845396876335144,1.0,0.74809027,0.9012929,0.31505898,0.3203496,0.32391077,0.27594495,0.05461598,0.18107933,0.28820238,0.26444286,0.03166852,F,major,0.5397375822067261
529,58257,58257_f9,files/58257_384275-hq.ogg,73728,81920,0.00011047100997529924,-1085.7393,183.93723,63.00748,9.006981,10.559095,7.429681,-0.72774494,3.3173008,3.7767892,-11.478065,-23.563519,-17.747791,-6.07145,0.027836496010422707,0.9510011,0.3783463,0.266197,0.15445986,0.079975046,0.2924822,0.18512852,0.15273264,0.19635007,1.0,0.6756822,0.24099551,C,major,0.5033926367759705
530,58257,58257_f10,files/58257_384275-hq.ogg,81920,90112,7.608403393533081e-05,-1117.7303,164.07474,76.07444,18.934229,10.338102,14.033629,7.204048,2.1492329,7.9751687,10.743226,-0.6679195,-15.787205,-19.75045,0.023281900212168694,0.104469754,0.056552846,0.011517079,0.04830016,0.18065232,1.0,0.44553453,0.14646602,0.21726158,0.25561285,0.18396948,0.08901658,C,minor,0.8221789002418518
531,58257,58257_f11,files/58257_384275-hq.ogg,90112,98304,5.423619950306602e-05,-1147.0057,143.88338,90.63959,39.29831,11.983107,6.838662,8.10894,5.4243565,1.1755167,1.7173508,6.422149,7.9706993,1.6810025,0.017857937142252922,0.8651473,0.1484548,0.17670178,1.0,0.6510607,0.19797496,0.25080827,0.102105156,0.08451388,0.054056,0.09416317,0.02706171,C,minor,0.7824292778968811
532,58257,58257_f12,files/58257_384275-hq.ogg,98304,106496,4.395968426251784e-05,-1173.6595,117.922356,89.62213,56.171364,29.258204,14.1609335,8.764427,7.407587,5.8642297,3.6706133,2.794681,4.635151,8.168593,0.01454479992389679,0.30449194,0.54178286,0.1972107,0.22512804,0.63813126,0.34134805,0.3844625,1.0,0.3998153,0.279794,0.73819035,0.79350656,E,minor,0.7779713273048401
533,58257,58257_f13,files/58257_384275-hq.ogg,106496,114688,2.810245678119827e-05,-1201.7803,84.816826,72.59916,55.752968,38.298943,23.855047,14.568512,10.654844,10.653834,12.238694,13.211594,12.288534,9.402091,0.013669153675436974,0.050684877,1.0,0.21656014,0.17360352,0.9571797,0.43758792,0.3371827,0.2984207,0.3279173,0.16947326,0.17883793,0.1072057,D,major,0.4519531726837158
534,58257,58257_f14,files/58257_384275-hq.ogg,114688,122880,6.908977866260102e-06,-1231.6774,45.78108,42.28713,36.98088,30.544947,23.768988,17.420212,12.125746,8.283481,6.0194063,5.1948733,5.4602776,6.341193,0.023407289758324623,0.7280695,0.12834929,0.61312914,0.9918154,0.38558447,0.39308497,0.4842704,1.0,0.23008117,0.30674645,0.7771136,0.2908296,C,minor,0.6438036561012268
535,58257,58257_f15,files/58257_384275-hq.ogg,122880,131072,7.851496775401756e-06,-1241.2727,33.054485,31.951992,30.196793,27.9042,25.221762,22.315208,19.355711,16.504671,13.901734,11.654297,9.831144,8.459479,0.021901167929172516,0.13925256,1.0,0.12430806,0.26400346,0.66859967,0.65218055,0.35865536,0.63688165,0.4046786,0.9362851,0.22403009,0.24295466,C,major,0.5789863467216492
536,58257,58257_f16,files/58257_384275-hq.ogg,131072,139264,5.697968390450114e-06,-1244.9208,27.899363,26.836056,25.227655,23.28219,21.226416,19.258423,17.511488,16.032854,14.785569,13.669754,12.559034,11.340934,0.024571074172854424,0.070498824,0.07205262,0.9855919,1.0,0.60768324,0.96809393,0.8263631,0.5873178,0.48305252,0.22284353,0.22717088,0.08792507,F,minor,0.7031213641166687
